pos	cM
5258363	1.966010
5258504	1.966407
5267608	1.967318
5268894	1.967810
5270857	1.967898
5277476	1.967898
5285241	1.967898
5290863	1.968180
5291465	1.980323
5292733	2.003113
5293482	2.005000
5295378	2.005144
5301712	2.005144
5302967	2.005192
5303098	2.005198
5304595	2.005487
5319666	2.027160
5328255	2.028814
5338160	2.029334
5341074	2.029349
5342254	2.030555
5350397	2.043439
5354151	2.045593
5354220	2.045619
5359313	2.046876
5361388	2.047011
5384491	2.047012
5386862	2.047012
5395355	2.047013
5396829	2.047013
5397009	2.047014
5398520	2.047034
5399723	2.047056
5401722	2.065263
5402906	2.082647
5406493	2.083277
5408900	2.083854
5416233	2.086466
5422458	2.091045
5423694	2.093532
5423741	2.093533
5425349	2.093625
5428286	2.093929
5429540	2.103853
5435859	2.104235
5443433	2.104924
5443868	2.104985
5443941	2.105102
5444481	2.106347
5444732	2.111194
5445054	2.371393
5445105	2.462887
5445403	2.579902
5445447	2.586455
5445590	2.717517
5445743	2.717930
5446035	2.718084
5446241	2.719033
5447394	2.761998
5447562	2.765725
5448049	2.826175
5449207	2.843363
5449421	2.843680
5449778	2.844038
5449841	2.844045
5449985	2.844046
5451358	2.844046
5451628	2.844046
5452392	2.844046
5452975	2.856017
5459574	2.856017
5460958	2.856017
5462201	2.856271
5463668	2.856460
5463944	2.856484
5464285	2.856485
5466766	2.856489
5468872	2.856832
5472750	2.856901
5479543	2.857325
5480017	2.876596
5526689	2.879513
5528078	2.894728
5536059	2.899366
5536476	2.899379
5543812	2.924652
5544606	2.925169
5545001	2.925169
5545230	2.925186
5549800	2.925236
5550036	2.925258
5550842	2.925513
5551376	2.940123
5551694	2.940224
5552406	2.958884
5558807	2.963057
5561570	2.963296
5572849	2.963302
5574410	2.963302
5577858	2.963303
5579817	2.963303
5583598	2.963303
5589275	2.963545
5593650	2.965786
5594254	2.981739
5598645	2.983988
5603506	2.984196
5605802	2.984532
5640134	2.992283
5644269	2.995743
5644544	3.011821
5645633	3.012732
5647968	3.012810
5648657	3.015303
5650575	3.022420
5654211	3.023894
5661341	3.050315
5661662	3.050445
5668090	3.056415
5668719	3.056551
5669353	3.056565
5672478	3.061832
5684069	3.061833
5690925	3.066689
5692637	3.091411
5698923	3.095863
5720514	3.096107
5731655	3.096111
5732042	3.096111
5742174	3.096588
5742355	3.096826
5743267	3.100962
5745147	3.135307
5746529	3.136944
5748288	3.137006
5751644	3.137515
5769700	3.137759
5771140	3.137760
5778716	3.137781
5780599	3.137855
5781353	3.137885
5783975	3.142980
5796471	3.142980
5800131	3.142980
5804352	3.142981
5811832	3.142984
5815086	3.142985
5816060	3.142986
5816146	3.142987
5818454	3.143039
5818516	3.147727
5818814	3.193360
5819514	3.208607
5819645	3.218578
5819718	3.222153
5820300	3.224776
5820894	3.244270
5821298	3.354168
5821302	3.354169
5821916	3.435080
5822076	3.460155
5822161	3.466331
5823361	3.479711
5830994	3.481661
5833343	3.481775
5837024	3.481841
5846158	3.481911
5850434	3.481911
5859774	3.482941
5865936	3.498782
5869671	3.498782
5881835	3.498782
5888203	3.498782
5890222	3.498782
5892643	3.498782
5894600	3.498782
5916820	3.499519
5917488	3.499755
5922964	3.500181
5926222	3.510095
5943053	3.511406
5947615	3.511584
5949795	3.511584
5965936	3.515225
5987529	3.515317
5994882	3.524599
5995721	3.524603
6014524	3.529960
6015316	3.530784
6024327	3.535607
6033817	3.540393
6054341	3.540433
6054993	3.540463
6071589	3.540481
6071731	3.540527
6073140	3.542248
6073181	3.551686
6081463	3.555644
6085737	3.556038
6088116	3.556075
6091167	3.556078
6106310	3.556155
6109428	3.556155
6117616	3.556241
6121231	3.556701
6124389	3.558265
6127286	3.564669
6132847	3.565325
6134440	3.571956
6134755	3.596734
6134819	3.597015
6134865	3.597991
6135564	3.634952
6136844	3.643652
6158139	3.650771
6166589	3.651112
6175293	3.653282
6186123	3.657030
6192781	3.657783
6197132	3.657783
6205276	3.657783
6205636	3.657783
6208472	3.657873
6208755	3.657915
6208944	3.658058
6209346	3.661440
6209459	3.727682
6210276	3.744865
6213459	3.751321
6214568	3.751746
6214943	3.766210
6215083	3.767770
6215771	3.768451
6217569	3.768536
6217964	3.788880
6219521	3.790159
6221710	3.790484
6226129	3.790872
6226256	3.790875
6226569	3.795898
6227814	3.859127
6228182	3.860733
6230277	3.903144
6231529	3.910300
6232543	3.911339
6236589	3.911339
6239608	3.911339
6241243	3.911339
6258520	3.911339
6266293	3.911339
6267345	3.911339
6267448	3.911398
6268985	3.915460
6270951	3.917180
6276188	3.918830
6280381	3.922504
6291748	3.922504
6292972	3.922504
6302433	3.925723
6305246	3.925723
6309070	3.925820
6312779	3.926495
6315516	3.928159
6315609	3.928465
6316924	3.962075
6319035	3.969022
6320191	3.969446
6320575	3.972744
6321104	3.972800
6325721	3.974680
6329530	3.976707
6340668	3.986642
6344236	3.986841
6353681	3.987628
6363422	3.996988
6372348	3.997731
6389174	4.008784
6392301	4.008804
6393558	4.016825
6407479	4.016916
6424723	4.019187
6429819	4.028748
6462931	4.033973
6463337	4.033987
6465006	4.034766
6469421	4.051986
6470716	4.052273
6482582	4.055782
6491750	4.058048
6499633	4.058048
6502593	4.058050
6512610	4.058083
6532595	4.061419
6534957	4.066513
6538899	4.068391
6551461	4.068395
6567338	4.068430
6574502	4.068488
6578805	4.068989
6579381	4.072089
6581759	4.127869
6582301	4.130786
6584737	4.131069
6598694	4.131291
6607270	4.132227
6614031	4.132301
6622831	4.132534
6627487	4.133678
6628181	4.142890
6629068	4.143781
6631592	4.161377
6646411	4.163617
6646488	4.169824
6646902	4.172429
6648466	4.174099
6649690	4.196842
6650692	4.199187
6652033	4.199940
6657883	4.199943
6660292	4.199943
6661894	4.199943
6669148	4.200870
6671928	4.200875
6681888	4.201948
6685884	4.207976
6685898	4.207981
6688390	4.209111
6692365	4.209248
6695727	4.218696
6697494	4.219588
6705151	4.219588
6707833	4.219588
6711761	4.219588
6723468	4.219594
6723785	4.219605
6724065	4.219756
6724397	4.220447
6725381	4.231852
6728061	4.283066
6728064	4.283105
6728197	4.283507
6730426	4.283930
6732491	4.283968
6733649	4.301198
6735784	4.301237
6735815	4.301509
6744374	4.302580
6746259	4.305415
6746764	4.307006
6748010	4.336156
6748637	4.347192
6748862	4.347759
6749516	4.348160
6750140	4.431678
6750382	4.437762
6751256	4.438968
6751438	4.503875
6751629	4.665015
6751667	4.676885
6751696	4.678162
6751763	4.711058
6751826	4.768372
6751838	4.778505
6752327	5.059902
6752368	5.071375
6752974	5.076915
6753261	5.077195
6753656	5.077235
6754169	5.077246
6756170	5.077278
6766119	5.077369
6767425	5.077370
6768053	5.077371
6770582	5.094935
6772191	5.094936
6776375	5.094936
6778127	5.094936
6779596	5.095214
6781906	5.095514
6784468	5.098751
6786273	5.098752
6790237	5.098752
6792286	5.099573
6793786	5.116424
6801506	5.119514
6806744	5.122884
6817036	5.123328
6828187	5.123956
6829097	5.123956
6829265	5.123956
6832486	5.123956
6833548	5.123956
6834840	5.123970
6835359	5.123971
6844917	5.124003
6849863	5.130741
6870282	5.130881
6871404	5.131216
6875528	5.131217
6885926	5.131328
6889285	5.131452
6899165	5.133881
6901936	5.156582
6905243	5.161117
6906236	5.162575
6907357	5.162631
6909001	5.170702
6919385	5.171224
6922831	5.173361
6925879	5.173368
6929871	5.173374
6932469	5.173836
6946317	5.175890
6959979	5.175907
6961772	5.176321
6970019	5.182142
6981422	5.215165
6983927	5.217978
6987413	5.220577
6992627	5.220577
6999758	5.220577
7007630	5.220577
7011996	5.220577
7022478	5.220577
7034879	5.220577
7037261	5.223544
7049765	5.223544
7123316	5.223544
7126040	5.226916
7164506	5.226983
7165457	5.226984
7191042	5.226986
7195267	5.226987
7256158	5.227006
7278552	5.227017
7284016	5.227032
7285995	5.227043
7303398	5.227176
7318929	5.237311
7324358	5.237352
7325263	5.237394
7352653	5.250287
7362957	5.250757
7396003	5.253108
7398799	5.292429
7407562	5.292759
7423196	5.292779
7437491	5.297996
7462384	5.300447
7463267	5.301078
7475195	5.301655
7478861	5.301655
7484565	5.302403
7485589	5.332888
7508866	5.335939
7515825	5.345072
7521249	5.345075
7535258	5.345098
7555647	5.366947
7564655	5.366962
7566978	5.366969
7577076	5.369107
7578127	5.403962
7595870	5.407720
7619227	5.408353
7622905	5.408549
7627687	5.408627
7628064	5.408643
7637758	5.408732
7662175	5.411713
7676562	5.422982
7680936	5.460746
7683882	5.463068
7695078	5.477963
7699087	5.479098
7710050	5.479333
7713646	5.479351
7717221	5.479903
7717960	5.480121
7731375	5.486713
7754526	5.507369
7761411	5.507374
7765957	5.526915
7787340	5.529263
7792520	5.530370
7798153	5.532644
7810652	5.542980
7813507	5.544345
7813772	5.545815
7819362	5.551260
7820740	5.554946
7824572	5.576401
7832157	5.580339
7836077	5.585278
7837542	5.591209
7838272	5.601300
7838688	5.746718
7839120	5.906981
7839165	5.907056
7839167	5.907056
7839521	5.907057
7840456	5.907059
7841194	5.907061
7842488	5.921925
7842742	5.923136
7843976	5.926086
7844011	5.926086
7844040	5.926086
7844834	5.926086
7846067	5.926087
7851910	5.941875
7857284	5.941875
7860697	5.941875
7869429	5.941875
7869478	5.941875
7872934	5.941875
7876575	5.941875
7878455	5.941875
7879581	5.941875
7880116	5.941875
7883025	5.941875
7883344	5.941875
7887953	5.941875
7889387	5.941877
7906462	5.942582
7919949	5.946668
7938246	5.946945
7938903	5.946945
7961461	5.946945
7964083	5.951661
7969975	5.965538
7976005	5.965780
7994349	5.967385
8006449	5.970397
8011926	5.971587
8012660	5.971821
8012889	5.971821
8014565	5.973270
8017397	5.979473
8017928	5.997522
8019320	6.130436
8019729	6.134099
8022801	6.137846
8025397	6.138257
8025600	6.138265
8030093	6.138289
8036853	6.138295
8047243	6.138472
8056809	6.140199
8059947	6.144394
8062887	6.147047
8066379	6.177643
8066539	6.177663
8066772	6.177663
8066952	6.177663
8069817	6.179613
8071805	6.180041
8084912	6.180993
8087457	6.181076
8109000	6.182045
8115641	6.182096
8116562	6.182107
8123309	6.186401
8133735	6.186407
8134388	6.187945
8143396	6.189498
8152896	6.190596
8153169	6.192128
8154327	6.226275
8154416	6.226774
8154423	6.226775
8155938	6.226792
8157273	6.242234
8169054	6.242367
8172976	6.247027
8173610	6.250135
8174083	6.267614
8176178	6.272846
8184147	6.274152
8203493	6.275944
8209875	6.285984
8218572	6.288135
8230676	6.288247
8241004	6.288323
8247111	6.288571
8285230	6.292676
8285491	6.292683
8319189	6.292685
8328098	6.292685
8328673	6.292685
8342442	6.293948
8342827	6.303738
8346114	6.304039
8350581	6.305038
8358447	6.305881
8361398	6.312792
8379574	6.329306
8383635	6.341074
8384029	6.341079
8384884	6.341426
8385470	6.346577
8386596	6.386440
8394617	6.387303
8398685	6.387348
8400039	6.387348
8400379	6.387348
8402666	6.387348
8409115	6.387348
8411470	6.387348
8414303	6.387348
8417451	6.387348
8418828	6.388164
8426212	6.407649
8439288	6.412575
8439917	6.413451
8440357	6.413492
8446441	6.414430
8449853	6.415391
8452845	6.416953
8453247	6.417379
8457200	6.448569
8466407	6.471683
8469857	6.481238
8469952	6.481305
8471256	6.481319
8471280	6.481475
8471341	6.482208
8473586	6.513258
8476662	6.513316
8485912	6.514281
8511200	6.519482
8511256	6.519553
8514231	6.538565
8514989	6.556470
8517309	6.556516
8517490	6.556561
8518193	6.556840
8518930	6.562590
8519310	6.621515
8519742	6.666519
8519799	6.667881
8520232	6.790957
8520305	6.811819
8520457	6.816789
8520483	6.816790
8520528	6.816815
8522987	6.816875
8523975	6.816990
8525918	6.817051
8528345	6.817225
8532469	6.817816
8533598	6.818226
8533793	6.818781
8533794	6.818804
8535238	6.918545
8536293	6.920989
8542572	6.923021
8559952	6.925051
8560241	6.925051
8561349	6.925060
8564587	6.925203
8564893	6.925238
8565761	6.933377
8567398	6.972296
8569364	7.000848
8569402	7.000859
8569469	7.001054
8571463	7.001061
8573694	7.001061
8576646	7.034101
8578120	7.122963
8579900	7.128625
8581501	7.129658
8589568	7.130735
8593725	7.130735
8599940	7.130735
8607630	7.130735
8612552	7.130736
8614517	7.130737
8614645	7.130931
8616207	7.134669
8617324	7.134862
8619484	7.135294
8622806	7.135387
8625362	7.135742
8639324	7.136877
8641035	7.165702
8641364	7.177635
8649615	7.178389
8661627	7.179792
8661822	7.179792
8661978	7.179796
8663212	7.179851
8666848	7.180362
8666856	7.180365
8666903	7.180402
8667142	7.199601
8667195	7.208497
8668357	7.557310
8671367	7.559474
8673002	7.559854
8673275	7.559883
8676999	7.560107
8678442	7.560153
8678762	7.560691
8685609	7.564325
8685658	7.564333
8690806	7.564779
8693159	7.564789
8704116	7.567919
8705306	7.574061
8706145	7.576338
8717106	7.578472
8726798	7.591794
8736841	7.592568
8744580	7.592864
8747189	7.596521
8747349	7.596555
8751701	7.596992
8753644	7.597061
8761597	7.597080
8766626	7.597087
8769914	7.604812
8779370	7.604825
8798250	7.604829
8799274	7.611534
8822653	7.611539
8827337	7.616513
8830508	7.616513
8837404	7.616514
8838180	7.616514
8842514	7.616526
8851672	7.616840
8856093	7.617377
8858223	7.617486
8863339	7.624001
8866994	7.624187
8867036	7.624496
8870807	7.702582
8870926	7.703466
8870941	7.703467
8873430	7.703467
8875758	7.703467
8894067	7.710765
8894484	7.710896
8904325	7.712796
8905566	7.714960
8906046	7.715619
8914556	7.715669
8937051	7.716221
8941357	7.716657
8946450	7.716742
8950918	7.717039
8951598	7.749276
8952037	7.756029
8952896	7.756036
8954691	7.756532
8956882	7.766040
8958599	7.767445
8959697	7.767492
8961063	7.767628
8962368	7.890821
8964705	7.890947
8965000	7.890950
8965912	7.891209
8969009	7.995629
8969712	7.995702
8976062	7.995723
8981276	7.997545
8987029	8.006832
8988040	8.007393
8988361	8.007459
8989353	8.008704
8989520	8.010740
8991302	8.010760
8992446	8.011095
8995599	8.021434
8996695	8.021768
9004223	8.047701
9004969	8.048398
9034708	8.058934
9043697	8.059875
9066820	8.060017
9067992	8.060456
9076144	8.060456
9078951	8.060456
9083032	8.060456
9098151	8.064931
9103128	8.068276
9117436	8.083039
9130687	8.099271
9132199	8.101824
9135052	8.136351
9136214	8.146404
9136598	8.147236
9143318	8.147783
9144260	8.148122
9144912	8.154651
9146662	8.191244
9147634	8.284498
9147928	8.293336
9148342	8.295645
9150456	8.331626
9151954	8.342834
9152857	8.345000
9157330	8.348662
9158505	8.349030
9158555	8.349688
9163688	8.357710
9165488	8.357894
9183926	8.368817
9195196	8.369417
9195962	8.390370
9196560	8.397761
9196692	8.397764
9197547	8.397766
9198308	8.397772
9199444	8.436187
9201163	8.436187
9204907	8.436187
9206449	8.436187
9209003	8.436187
9210151	8.436187
9212994	8.437309
9220795	8.438312
9222047	8.438385
9230231	8.439878
9231447	8.439879
9232575	8.439886
9232845	8.439889
9232909	8.439893
9233787	8.455341
9234375	8.538185
9235044	8.643229
9235726	8.643623
9237283	8.643662
9238004	8.643662
9244728	8.644231
9249782	8.645045
9249906	8.645106
9250013	8.650127
9250537	8.651699
9251502	8.651807
9251793	8.657637
9252496	8.837658
9252687	8.857652
9253420	8.999670
9253628	9.002867
9256157	9.003002
9257942	9.003012
9259563	9.003027
9261109	9.003040
9264575	9.003044
9267133	9.003049
9267975	9.003053
9272840	9.003063
9273801	9.003063
9276031	9.003064
9281802	9.003066
9284341	9.003069
9284691	9.003069
9286943	9.003070
9288264	9.003070
9290387	9.003071
9290446	9.003071
9290670	9.003071
9291351	9.003072
9291376	9.003072
9292652	9.025548
9293143	9.026364
9293170	9.026472
9294099	9.059989
9295230	9.100158
9297076	9.516250
9297780	9.516250
9298164	9.516250
9299073	9.516250
9299100	9.516250
9299402	9.516327
9300078	9.516733
9301001	9.532459
9301112	9.629273
9301222	9.652834
9301343	9.653362
9301652	9.653619
9303077	9.653953
9304522	9.654071
9305344	9.654071
9307287	9.657050
9307786	9.657165
9309229	9.657426
9309384	9.657444
9314442	9.657847
9315979	9.657947
9319892	9.658065
9321543	9.658563
9321929	9.664913
9324925	9.665817
9326260	9.665817
9327439	9.665817
9327842	9.665817
9329837	9.665817
9331348	9.665823
9335574	9.669161
9337414	9.671993
9341231	9.672710
9352454	9.678691
9354848	9.678691
9355060	9.678691
9355582	9.678692
9355641	9.678741
9360956	9.678913
9362047	9.679019
9362090	9.679032
9365004	9.687219
9367131	9.687869
9367817	9.687896
9370349	9.688211
9373808	9.689547
9379449	9.700903
9380255	9.704992
9380547	9.713295
9380742	9.721773
9381421	9.739265
9381677	9.739586
9384621	9.744722
9384712	9.746481
9385467	9.806975
9385928	9.810643
9386120	9.810739
9387870	9.810813
9392386	9.810823
9393378	9.811426
9394199	9.811464
9394409	9.823772
9397929	9.823935
9397992	9.823947
9398386	9.823997
9403293	9.826161
9404363	9.826173
9412823	9.826474
9434795	9.826572
9435103	9.826582
9436232	9.829192
9436910	9.836934
9437651	9.836980
9438458	9.837359
9440943	9.954611
9441812	9.955305
9441938	9.955305
9442332	9.956168
9442619	9.956202
9443265	9.971769
9455998	9.973288
9457055	9.976882
9457144	9.976977
9457913	9.981924
9458924	10.010406
9459830	10.035522
9460494	10.040015
9462353	10.040081
9466768	10.040582
9467162	10.040660
9470146	10.042377
9470534	10.065800
9471512	10.066362
9483294	10.074795
9485744	10.084804
9487714	10.087337
9488761	10.087349
9494811	10.090971
9498279	10.113313
9502681	10.115949
9502864	10.115949
9509723	10.116013
9512413	10.123885
9516407	10.123922
9518866	10.124540
9520208	10.127121
9520911	10.152875
9523258	10.161035
9524243	10.161052
9543198	10.161766
9547987	10.162699
9549846	10.162963
9551858	10.162963
9552576	10.162966
9553871	10.170197
9555164	10.223338
9555165	10.223447
9555215	10.223454
9557201	10.332473
9558448	10.333396
9558541	10.333397
9560691	10.333522
9563627	10.334227
9564719	10.334301
9568116	10.335362
9569682	10.335980
9570166	10.337457
9570384	10.339132
9575489	10.353744
9577870	10.361339
9578144	10.367375
9580153	10.367590
9580373	10.370837
9580424	10.372781
9581577	10.496231
9583443	10.496371
9583580	10.496374
9589739	10.496430
9590075	10.496431
9591223	10.500874
9594919	10.502371
9595923	10.502450
9598983	10.503152
9599573	10.508114
9601993	10.511857
9604362	10.511935
9604856	10.511942
9606759	10.511953
9607494	10.512013
9610129	10.512047
9611518	10.512052
9614820	10.513151
9616430	10.539839
9616524	10.541971
9616790	10.541982
9617850	10.542126
9620215	10.543921
9621252	10.545518
9623106	10.596897
9624585	10.597697
9625564	10.597952
9626695	10.597981
9628044	10.598102
9628109	10.598124
9629745	10.600188
9629956	10.600973
9633176	10.673823
9635995	10.675411
9638040	10.676128
9638108	10.678451
9642410	10.681217
9645696	10.684712
9646699	10.684718
9658268	10.685648
9662298	10.713976
9663745	10.716047
9673504	10.717315
9674362	10.721068
9675324	10.723490
9676660	10.728463
9678358	10.730317
9680180	10.732482
9683017	10.732482
9687883	10.735295
9688899	10.738811
9690710	10.738811
9693035	10.741422
9697023	10.741606
9697441	10.741632
9698084	10.759180
9698577	10.824470
9699178	10.851170
9700096	10.852059
9700799	10.864025
9700945	10.884009
9701071	10.884198
9703045	10.901761
9704753	10.901896
9706273	10.901930
9707285	10.901957
9707836	10.928262
9709559	10.949863
9710533	10.950328
9711192	10.951002
9712443	10.993535
9713463	10.994578
9714767	10.995258
9715314	11.001459
9715526	11.002386
9717861	11.013805
9718086	11.014577
9718147	11.015568
9718641	11.038448
9720592	11.116811
9721087	11.124600
9722157	11.130103
9723470	11.131143
9725303	11.131143
9728000	11.133326
9733385	11.133913
9734068	11.133943
9735899	11.133945
9738597	11.138525
9742873	11.138527
9743555	11.138527
9759230	11.138531
9760336	11.138531
9760481	11.138531
9760961	11.138871
9761083	11.150497
9761826	11.313528
9762041	11.316259
9762798	11.317023
9765116	11.317091
9765348	11.317092
9769727	11.317111
9769862	11.317111
9774003	11.317152
9774873	11.317547
9778097	11.319534
9779504	11.320719
9779837	11.334243
9779989	11.335414
9780485	11.352030
9781320	11.391322
9783434	11.428421
9786095	11.430194
9788118	11.430230
9788962	11.430230
9789258	11.430230
9789485	11.430239
9789825	11.430254
9790905	11.432338
9791765	11.435482
9792044	11.437053
9795835	11.476294
9795858	11.476306
9795902	11.476337
9796270	11.476723
9797979	11.480954
9798160	11.481805
9798685	11.488400
9799320	11.565214
9800872	11.632316
9803079	11.708482
9804160	11.853040
9804918	11.864454
9805234	11.872184
9808554	12.034999
9808582	12.042272
9808595	12.044088
9808869	12.180600
9809160	12.194102
9809646	12.208072
9809840	12.209990
9810827	12.211349
9813473	12.211354
9815166	12.211357
9815359	12.211357
9822271	12.211363
9822946	12.213180
9823763	12.252054
9824052	12.252278
9827452	12.254003
9831681	12.256307
9835454	12.258584
9836761	12.259177
9838384	12.264189
9839653	12.264427
9845674	12.269124
9846095	12.269247
9846892	12.269247
9854745	12.273128
9855427	12.273595
9856807	12.283696
9857069	12.285061
9859855	12.288199
9859929	12.288321
9863531	12.301641
9866279	12.301710
9868479	12.303521
9871158	12.305241
9871471	12.305253
9871832	12.305253
9872270	12.305255
9881261	12.305303
9882848	12.311947
9884240	12.312484
9886725	12.313155
9887761	12.315493
9889033	12.316719
9898045	12.363968
9898380	12.364298
9899471	12.385280
9901145	12.392109
9903061	12.401387
9904381	12.410909
9910929	12.414049
9911829	12.414688
9912651	12.415484
9912892	12.415862
9914431	12.416111
9914530	12.416158
9914938	12.416436
9915334	12.416832
9917074	12.419529
9918124	12.422127
9918884	12.422796
9920202	12.424544
9920625	12.424715
9921939	12.425357
9922383	12.425430
9923124	12.425513
9924426	12.425706
9924649	12.425716
9927133	12.426707
9927310	12.426793
9929928	12.428553
